type,platform,message,count,hours_left
WARNING,Shopee,⚠️ Đơn 505158 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505156 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505157 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505155 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505153 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505152 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505150 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505154 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505149 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505148 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505142 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505143 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505147 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505146 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505144 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505138 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505137 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505136 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505139 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505135 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505134 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505140 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505133 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505132 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505131 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505125 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505124 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505123 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505128 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505130 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505121 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505120 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505114 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505110 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505106 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505105 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505104 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505116 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505118 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505115 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505103 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505119 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505117 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505102 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505111 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505107 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505112 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505108 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505109 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505113 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505096 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505095 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505094 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505101 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505099 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505098 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505100 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505093 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505092 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505091 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505089 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505088 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505087 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505086 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505084 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505082 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505083 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505090 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505079 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505077 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505078 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505011 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505018 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505019 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505020 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505017 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505024 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505041 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505039 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505040 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505037 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505044 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505042 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505052 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505051 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505053 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505054 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504986 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504980 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504976 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505055 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505056 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505057 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504958 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504998 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504965 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504939 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504938 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504949 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504950 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504964 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504917 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504944 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504940 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504946 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504945 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504947 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504952 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504901 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 505009 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504900 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504905 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504879 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504862 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504863 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504860 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504842 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504843 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 504757 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
WARNING,Shopee,⚠️ Đơn 503158 sắp hết hạn bàn giao (0.4h),,0.42896237416666666
